Time: 2022-11-01 16:50:19 ms:944 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:22 ms:945 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:25 ms:961 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:28 ms:960 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:31 ms:975 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:34 ms:977 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:37 ms:991 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:40 ms:991 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:43 ms:991 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:46 ms:993 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:49 ms:995 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:53 ms:008 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:56 ms:009 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:50:59 ms:022 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:02 ms:024 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:05 ms:038 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:08 ms:039 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:11 ms:038 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:14 ms:040 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 16:51:17 ms:041 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:17:45 ms:508 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:17:48 ms:475 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:17:51 ms:476 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:17:54 ms:490 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:17:57 ms:491 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:19:26 ms:857 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:19:29 ms:835 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:19:32 ms:837 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:19:35 ms:850 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:29 ms:921 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:32 ms:899 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:35 ms:900 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:38 ms:911 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:41 ms:913 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:44 ms:914 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:47 ms:928 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:50 ms:929 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:53 ms:944 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:56 ms:946 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:55:59 ms:961 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:02 ms:974 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:05 ms:976 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:08 ms:990 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:11 ms:990 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:14 ms:991 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:17 ms:993 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:21 ms:006 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:24 ms:008 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:27 ms:021 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-01 17:56:30 ms:022 Level: LOG ERROR    Message: XSystem socket fail to send command
Time: 2022-11-02 10:17:26 ms:214 Level: LOG ERROR    Message: XSystem socket fail to send command
